stop_id stop_code stop_name stop_lat stop_lon
188 poi406748 Févrie 48.700977 2.149986
189 poi406747 Pré_Lambesc 48.702209 2.146311
190 poi1271304 Collège_J._Adam 48.701061 2.124824
191 poi1271303 Les_Moulins 48.698093 2.123306
192 poi1271300 Damiette 48.698257 2.112616
193 poi1271288 Gruerie 48.69728 2.10642
194 poi1271287 Madrid 48.69812 2.103522
195 poi1271285 Courcelle_-_Intermarché 48.701595 2.104943
196 poi1271286 Madrid 48.697994 2.103785
197 poi1271289 Gruerie 48.697212 2.105602
198 poi1271301 Damiette 48.698028 2.112936
199 poi1271302 Les_Moulins 48.698154 2.124974
200 poi1271305 Collège_J._Adam 48.701099 2.124984
201 poi1271284 Courcelle_11_Novembre 48.703521 2.10747
202 poi1271282 Grange_Martin 48.704517 2.116291
203 poi1271280 Les_Quinconces 48.707286 2.12308
204 poi406744 Val_Vert 48.697929 2.141091
205 poi406743 Coudraies 48.695598 2.142997
206 poi406742 Hacquinière_-_Marceau 48.690078 2.142663
207 poi406740 Hacquinière_-_Montaigne 48.688224 2.139971
208 poi406741 Hacquinière_-_Paul_Bert 48.689865 2.1431
209 poi1271279 Les_Quinconces 48.707286 2.123152
210 poi1271281 Grange_Martin 48.704547 2.116297
211 poi1271283 Courcelle_11_Novembre 48.703617 2.107506
212 poi1064276 Rond-Point_Camille_Claudel 48.71836 2.232054
213 poi1064277 Parc_d’Ardenay 48.717338 2.240025
214 poi1064279 Quartier_de_la_mesure 48.72071 2.246598
215 poi1850398 Rue_de_la_Gare 48.717609 2.247889
216 poi1064281 Mairie_de_Palaiseau 48.7145 2.245167
217 poi1064282 Place_de_la_Victoire 48.711395 2.242754
218 poi1850399 Mairie_de_Palaiseau_-_La_Poste 48.712932 2.246272
219 poi1064280 Quartier_de_la_mesure 48.720729 2.246123
220 poi1064278 Parc_d’Ardenay 48.717487 2.240178
221 61 Hôtel_de_Ville 48.672237 2.32429
222 78 Stade 48.669281 2.320151
223 59 Les_Laurentes 48.667831 2.31765
224 58 Le_Breuil 48.666465 2.316528
225 PointOfInterest_53 Chevreuse 48.666137 2.313075
226 PointOfInterest_54 Perray_Vaucluse 48.665218 2.30655
227 PointOfInterest_56 Chemin_de_Villiers 48.662887 2.307163
228 PointOfInterest_55 Perray_Vaucluse 48.665161 2.306611
229 PointOfInterest_52 Chevreuse 48.666095 2.313236
230 60 Les_Laurentes 48.667961 2.317966
231 77 Stade 48.669326 2.32044
232 62 Hôtel_de_Ville 48.672302 2.324408
233 PointOfInterest_62 Place_des_Monseaux 48.672615 2.328123
234 PointOfInterest_132 Montjay 48.683681 2.159226
235 PointOfInterest_130 Les_Amonts 48.683368 2.163739
236 PointOfInterest_129 Hautes_Plaines 48.682624 2.167507
237 PointOfInterest_127 Mairie_des_Ulis 48.682437 2.170615
238 PointOfInterest_125 Bourgogne 48.684036 2.177382
239 PointOfInterest_123 Bellevue_-_Montjay 48.684959 2.183596
240 PointOfInterest_120 Marché_de_Mondétour 48.682651 2.183009
241 PointOfInterest_118 Estérel 48.679042 2.179643
242 PointOfInterest_113 Chardonnerets 48.678813 2.186509
243 PointOfInterest_110 La_Queue_d'Oiseau 48.67839 2.191293
244 PointOfInterest_114 Andes_-_Cap_Horn 48.677661 2.198594
245 PointOfInterest_116 Y 48.684234 2.202169
246 PointOfInterest_117 Coeur_de_Parc 48.685081 2.200989
247 PointOfInterest_111 La_Queue_d'Oiseau 48.678501 2.190902
248 PointOfInterest_112 Chardonnerets 48.678985 2.186452
249 PointOfInterest_119 Estérel 48.678901 2.179818
250 PointOfInterest_121 Marché_de_Mondétour 48.682636 2.183151
251 PointOfInterest_122 Bellevue_-_Montjay 48.685806 2.183553
252 PointOfInterest_124 Bourgogne 48.683422 2.175366
253 PointOfInterest_126 Mairie_des_Ulis 48.682579 2.170582
254 PointOfInterest_128 Hautes_Plaines 48.682781 2.166846
255 PointOfInterest_131 Les_Amonts 48.683517 2.163372
256 PointOfInterest_115 Y 48.684047 2.203483
257 PointOfInterest_140 Les_Vignes 48.691905 2.173091
258 PointOfInterest_139 Simone_Veil 48.688575 2.173653
259 PointOfInterest_137 Champagne 48.686801 2.172808
260 PointOfInterest_133 Avelines_-_Daunière 48.681655 2.167099
261 PointOfInterest_134 Bosquet 48.678581 2.164149
262 PointOfInterest_135 Thomas 48.679641 2.162939
263 PointOfInterest_136 Champagne 48.686687 2.172844
264 PointOfInterest_138 Simone_Veil 48.688507 2.17382
265 PointOfInterest_142 Centre_Sportif_Lionel_Terray 48.734931 2.286631
266 PointOfInterest_143 _Gare_de_Massy-Verrières_RER 48.734855 2.273032
267 PointOfInterest_144 Le_Lac 48.740489 2.27079
268 PointOfInterest_149 Paron 48.74591 2.269056
269 PointOfInterest_146 Foch_Leclerc 48.743824 2.265868
270 PointOfInterest_151 Grands_Chênes 48.74245 2.262633
271 PointOfInterest_153 Moulin_de_Grais 48.740547 2.256169
272 PointOfInterest_154 Croix_Belle_Avoine 48.740959 2.251115
273 PointOfInterest_152 Moulin_de_Grais 48.740573 2.25755
274 PointOfInterest_150 Grands_Chênes 48.742774 2.263702
275 PointOfInterest_147 Foch_Leclerc 48.744483 2.267306
276 PointOfInterest_148 Mairie 48.746868 2.267661
277 PointOfInterest_145 Le_Lac 48.740413 2.269856
278 PointOfInterest_141 Centre_Sportif_Lionel_Terray 48.734992 2.287448
279 PointOfInterest_104 La_Hunière_-_Joncherettes 48.709808 2.23042
280 PointOfInterest_102 La_Hunière_-_Onera_ 48.711788 2.232914
